Barrio;Distrito;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Puente de Vallecas;Puente de Vallecas;"3.282,45";"3.047,62";"2.537,32";"2.349,45";"2.235,54";"1.767,23";"1.378,7";"1.307,4";"1.252,73";"1.306,74";"1.412,75";"1.637,04";"1.841,52";"1.908,39";"1.908,5";"2.110,69";"2.146,86";"2.444,16"
Puente de Vallecas;Entrevías;-;-;-;-;-;-;-;-;-;"1.132,85";"1.207,88";"1.386,87";"1.660,4";"1.712,29";"1.735,19";"1.826,99";"1.963,83";"2.138,82"
Puente de Vallecas;San Diego;-;-;-;-;-;-;-;-;-;"1.295,09";"1.468,96";"1.652,3";"1.930,5";"1.953,47";"2.014,65";"2.143,48";"2.278,05";"2.508,13"
Puente de Vallecas;Palomeras Bajas;-;-;-;-;-;-;-;-;-;"1.337,43";"1.512,37";"1.761,74";"1.870,45";"1.963,09";"1.995,5";"2.128,24";"2.200,42";"2.487,89"
Puente de Vallecas;Palomeras Sureste;-;-;-;-;-;-;-;-;-;"1.243,79";"1.310,56";"1.592,74";"1.648,98";"1.748,82";"1.832,09";"2.148,95";"1.994,56";"2.245,45"
Puente de Vallecas;Portazgo;-;-;-;-;-;-;-;-;-;"1.229,46";"1.339,35";"1.560,24";"1.773,79";"1.792,21";"1.827,73";"2.061,83";"2.039,79";"2.313,93"
Puente de Vallecas;Numancia;-;-;-;-;-;-;-;-;-;"1.455,28";"1.509,27";"1.756,26";"2.003,37";"2.106,4";"1.933,99";"2.194,78";"2.232,74";"2.730,31"
