Barrio;Distrito;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Puente de Vallecas;Puente de Vallecas;"3.256,39";"2.880,98";"2.246,55";"2.238,65";"2.065,33";"1.653,73";"1.350,26";"1.225,4";"1.206,13";"1.320,89";"1.428,32";"1.644,77";"1.846,07";"1.914,69";"1.925,15";"2.081,79";"2.136,7";"2.439,69"
Puente de Vallecas;Entrevías;-;-;-;-;-;-;-;-;-;"1.144,19";"1.242,04";"1.310,91";"1.634,26";"1.835,46";"1.765,16";"1.884,6";"1.984,68";"2.125,59"
Puente de Vallecas;San Diego;-;-;-;-;-;-;-;-;-;"1.331,9";"1.505,35";"1.659,41";"1.960,52";"2.022,03";"2.070,82";"2.172,96";"2.206,35";"2.452,35"
Puente de Vallecas;Palomeras Bajas;-;-;-;-;-;-;-;-;-;"1.343,36";"1.508,26";"1.743,54";"1.867,3";"1.963,13";"2.016,56";"2.138,83";"2.247,1";"2.503,51"
Puente de Vallecas;Palomeras Sureste;-;-;-;-;-;-;-;-;-;"1.247,72";"1.321,75";"1.545,79";"1.645,75";"1.743,52";"1.760,26";"1.850,62";"1.937,92";"2.239,13"
Puente de Vallecas;Portazgo;-;-;-;-;-;-;-;-;-;"1.246,38";"1.353,25";"1.573,61";"1.757,68";"1.778,4";"1.823,12";"2.053,84";"2.048,91";"2.344,09"
Puente de Vallecas;Numancia;-;-;-;-;-;-;-;-;-;"1.433,89";"1.505,29";"1.777,46";"2.008,42";"2.023,55";"1.944,2";"2.191,41";"2.261,13";"2.693,13"
